"","gene","fc_PCR_vs_RD","pval","mean_PCR","mean_RD","mean_diff"
"78","NOTUM",4.81717530996762,0.0556689201366354,0.0444455263157895,0.00922647058823529,0.0352190557275542
"79","TMC6",3.14156062618589,0.0457554298595777,-0.0972910526315789,-0.0309690196078431,-0.0663220330237358
"80","LGALS9C",0.78699699375852,0.374269528039802,0.0921065789473684,0.117035490196078,-0.02492891124871
"81","KRTAP9.3",4.19821881377946,0.62593740910054,0.0196147368421053,0.0046721568627451,0.0149425799793602
"82","KRTAP3.2",0.888086960833466,0.925044233986842,0.00998105263157895,0.0112388235294118,-0.00125777089783282
"83","KRT34",0.269664557576474,0.435336932881119,0.0112081578947368,0.0415633333333333,-0.0303551754385965
"84","OR1E1",1.21511060275612,0.478585432047056,0.0558581578947368,0.0459696078431373,0.00988855005159959
"85","SPATA22",1.01965358197167,0.834512247293053,-0.237301578947368,-0.232727647058824,-0.00457393188854488
"86","COPZ2",0.706200912038943,0.850305972828168,-0.0149923684210526,-0.0212296078431373,0.00623723942208462
"87","CTDP1",0.974574050653436,0.832592575114402,-0.162825526315789,-0.167073529411765,0.00424800309597523
"89","GRP",1.57885764732003,0.101728806307012,-0.471806315789474,-0.298827647058824,-0.17297866873065
"90","RNF125",0.911444374602272,0.657821108719743,0.309319736842105,0.339373137254902,-0.0300534004127967
"92","MYO5B",1.31936789328209,0.620060562915681,-0.100614736842105,-0.0762598039215686,-0.0243549329205366
"93","CYB5A",1.32502133202241,0.468365672669309,-0.143362631578947,-0.108196470588235,-0.0351661609907121
"94","SFRP1",-0.339579872096787,0.554983014370473,0.0173113157894737,-0.0509786274509804,0.0682899432404541
"95","C18orf21",0.70117475231507,0.80989107122352,0.0200157894736842,0.0285460784313725,-0.00853028895768834
"96","VSIG10L",2.45781990080739,0.481841879518276,-0.0381978947368421,-0.0155413725490196,-0.0226565221878225
"97","VSIG10L.1",1.14339922395142,0.638863947435459,0.200805789473684,0.175621764705882,0.0251840247678018
"98","ZNF614",1.26995178847292,0.625604361508537,0.0726028947368421,0.0571698039215686,0.0154330908152735
"99","ZNF614.1",-0.0805320323490013,0.771946434323141,0.000593157894736841,-0.00736549019607843,0.00795864809081527
"100","SFRP1.1",-0.732464571101693,0.41614086424009,0.0401973684210526,-0.0548796078431373,0.0950769762641899
"101","ZNF446",1.53538357554681,0.145210726732269,-0.110487105263158,-0.0719605882352941,-0.0385265170278638
"102","ZNF587",0.148941351653251,0.00476749040422644,0.0224884210526316,0.150988431372549,-0.128500010319917
"103","EML2",1.04539692242432,0.786719371019467,-0.234591578947368,-0.22440431372549,-0.0101872652218782
"104","PPP1R37",0.751435543416985,0.639111585130228,-0.0340323684210526,-0.0452898039215686,0.011257435500516
"105","PPP1R37.1",1.07297486616016,0.66153890831712,-0.171245526315789,-0.159598823529412,-0.0116467027863777
"106","ZNF285",-0.0810123045421088,0.536763431810485,-0.00200473684210526,0.0247460784313725,-0.0267508152734778
"107","ARHGEF1",0.458203703729321,0.355832864188621,-0.0205097368421053,-0.0447611764705882,0.024251439628483
"108","KRI1",1.75290145127355,0.387186624467488,-0.0544760526315789,-0.0310776470588235,-0.0233984055727554
"109","ATG4D",0.784756482206219,0.140437391753868,-0.129024736842105,-0.164413725490196,0.0353889886480908
"110","NKIRAS2",1.02272228093026,0.93440381395726,-0.0860636842105263,-0.084151568627451,-0.00191211558307534
"111","ZNF426",-1.34373396505485,0.577068540044042,-0.0193231578947368,0.0143801960784314,-0.0337033539731682
"112","CYP2S1",1.56665252899866,0.422050592656809,-0.0278655263157895,-0.0177866666666667,-0.0100788596491228
"113","B3GNT8",0.673440611518212,0.355415492610248,-0.0819692105263158,-0.121717058823529,0.0397478482972136
"114","TMEM38A",-1.20638422469929,0.398272602110324,0.0239807894736842,-0.0198782352941176,0.0438590247678019
"115","LINC00467",1.52523100758037,0.401685729457798,-0.1081,-0.0708745098039216,-0.0372254901960784
"116","C3",25.0953557927969,0.527889691277299,0.0374068421052632,0.00149058823529412,0.035916253869969
"117","EVI5L",1.05866386360828,0.797034794749449,-0.0938968421052632,-0.0886937254901961,-0.00520311661506707
"118","NLRP12",0.992287388217154,0.986642074744038,-0.06612,-0.0666339215686274,0.000513921568627451
"119","CCDC130",0.194720795892169,0.853682528989369,-0.00127736842105263,-0.00656,0.00528263157894737
"120","ZNF442",-9.18091809180918,0.143441690165848,-0.056,0.00609960784313726,-0.0620996078431373
"121","MAST1",0.888163040327992,0.490247097787655,-0.263185,-0.296325098039216,0.0331400980392157
"122","KLK11",1.00292974309718,0.989906204769209,-0.406141315789474,-0.404954901960784,-0.00118641382868934
"123","KCNC3",1.03524721113094,0.775778299150242,-0.220784736842105,-0.213267647058824,-0.00751708978328172
"124","IZUMO2",1.78999450537237,0.317018829752075,0.0648181578947368,0.0362113725490196,0.0286067853457172
"125","RPS11",2.77347270797823,0.179686419750885,0.0660260526315789,0.0238062745098039,0.042219778121775
"126","BCAT2",1.40802696759669,0.357025732314977,-0.118542894736842,-0.0841907843137255,-0.0343521104231166
"127","CHMP6",1.19141585101948,0.595681382056592,-0.0495442105263158,-0.0415843137254902,-0.00795989680082559
"128","FGF21",0.845201176008549,0.407613148307816,-0.0493494736842105,-0.0583878431372549,0.00903836945304438
"129","SPACA4",0.174341621498176,0.627135652054731,-0.00189471739473684,-0.0108678431372549,0.00897312574251806
"130","ZNF565",0.56126102695781,0.179172628949312,0.0492634210526316,0.0877727450980392,-0.0385093240454076
