"","TCGA.3C.AALI.01","TCGA.A2.A04W.01","TCGA.A2.A04X.01","TCGA.A2.A0CX.01","TCGA.A2.A0D1.01","TCGA.A2.A0EQ.01","TCGA.A2.A0T1.01","TCGA.A2.A3XV.01","TCGA.A2.A3XZ.01","TCGA.A8.A07I.01","TCGA.A8.A08B.01","TCGA.A8.A08J.01","TCGA.A8.A08L.01","TCGA.A8.A08X.01","TCGA.A8.A094.01","TCGA.A8.A09G.01","TCGA.A8.A09X.01","TCGA.A8.A0A7.01","TCGA.AC.A23H.01","TCGA.AC.A3W5.01","TCGA.AC.A5EH.01","TCGA.AN.A04C.01","TCGA.AN.A0FV.01","TCGA.AO.A0J2.01","TCGA.AO.A0JE.01","TCGA.AO.A12D.01","TCGA.AR.A0TX.01","TCGA.AR.A24U.01","TCGA.AR.A254.01","TCGA.B6.A0I9.01","TCGA.B6.A0IK.01","TCGA.B6.A0RH.01","TCGA.B6.A0RS.01","TCGA.BH.A0AW.01","TCGA.BH.A0B7.01","TCGA.BH.A0EE.01","TCGA.BH.A18P.01","TCGA.BH.A18R.01","TCGA.BH.A1EN.01","TCGA.BH.A1EV.01","TCGA.BH.A203.01","TCGA.C8.A12L.01","TCGA.C8.A12P.01","TCGA.C8.A12Q.01","TCGA.C8.A12T.01","TCGA.C8.A12Z.01","TCGA.C8.A135.01","TCGA.C8.A137.01","TCGA.C8.A138.01","TCGA.C8.A1HF.01","TCGA.C8.A1HK.01","TCGA.C8.A26X.01","TCGA.C8.A26Y.01","TCGA.C8.A275.01","TCGA.C8.A278.01","TCGA.C8.A8HP.01","TCGA.D8.A13Z.01","TCGA.D8.A1JA.01","TCGA.D8.A1JF.01","TCGA.D8.A1JG.01","TCGA.D8.A1XJ.01","TCGA.D8.A1XT.01","TCGA.E2.A14P.01","TCGA.E2.A14V.01","TCGA.E2.A152.01","TCGA.E2.A1B0.01","TCGA.E2.A1LB.01","TCGA.E9.A1RH.01","TCGA.E9.A248.01","TCGA.EW.A1OV.01","TCGA.EW.A2FR.01","TCGA.EW.A6SD.01","TCGA.GM.A2DB.01","TCGA.GM.A2DH.01","TCGA.LL.A5YO.01","TCGA.OL.A5RZ.01","TCGA.OL.A66P.01","TCGA.UU.A93S.01"
"SNORA11D",0,0,0,0,0,0,0,0,0.3446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1586,0,0,0,0,0,0,0,0,0,0
"SNORA11E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1586,0,0,0,0,0,0,0,0,0,0
"SNORA12",0,1.0806,0.3605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3926,0,0,0,0.3547,0,0,0,0,0.3384,0,0,0,0,0,0,0,0.3574,0,0,0.8915,0,0,0,0,0,0.2985,0,0,0.9217,0,0,0,0,1.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4493,0.3172,0,0,0,0.419,0,0,0,0,0,0
"SNORA13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA14A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA14B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6558,0.3926,0,0,0,0.3547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8915,0,0,0,0,0,0,0,0,0.4608,0,0,0,0,0,0,0,0,0,0,0,0,0.2587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA15",0,0,0,0,0.4709,0.4145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3347,0,0.2972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2999,0,0,0,0,0,0,0
"SNORA16A",0,1.4967,0,0,0,0,0,0.2925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2021,0,0,0,0,0,0.0895999999999999,0.2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4703
"SNORA16B",0,0,0,0,0,0,0,0,0,0.441,2.6502,0.3327,0,0,0,0,0,0.3926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA18",0.6634,0.9131,0,0,0.2778,0,0,0.2538,0,0.3219,0,0,0.1174,0.5465,0.2374,0,0.414,0,0,0,0,1.7344,0,0,0.645,0,0,0.0761000000000001,0.2034,0,0,0,0,0,0,0,0,0,0,0,0,0.4867,0.3057,0,0.1689,0,0.1935,1.5189,0,0.2495,0,0.7258,0.4406,0,0.1562,0,0,0,0,0,0.1057,0,0,0,0,0,0,0,0.1101,0,0,0.7793,0,0.1252,0.9528,0,0,0
"SNORA19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA20",0,0,0,0,0,0,0,0,0,0,0,0.3327,0.3173,0,1.2492,0.3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3187,0,0.6878,0,0,0,1.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306,0,0,0,0,0,0,0.2587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA21",1.6313,0,0,0,0,0,0,0,0,1.7639,0,0,0.3173,0,0,0,0,0,0,0,0,0,0,0.5699,0,0,0.3384,0,0,0,1.1561,0.3439,0.3157,0,0.3574,0,0,0,0,1.5523,0,0.3957,0,0,0.4445,0,0,0,1.0274,0,0,0,0,0,0.6645,0,0,0,0,0,0.302,0,0,0.9889,0,0.1857,0,0,0.3237,0,0,1.2569,0,0.2608,0,1.023,0,0
"SNORA22",0,0,0,0,0,0,0,0,0,0.441,7.9505,0,0.3173,3.6034,0,0,2.8977,0,0,0,0,0,0.3841,0,0.4057,0,0.3384,0,0,0,1.7341,0,0.3157,0,0,0.3347,0,0.2972,0,0,0,0,0,0.5971,0,0,0,0,0.5137,0,0,0,0.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA23",0.5438,1.621,0,0.4036,0,0.829,0.3745,0,0,0,0,0,0.9518,0,2.4984,0.6122,2.8977,0.3926,0.5951,0,0,1.064,0.3841,0,0,0,0,0.331,0,0,1.7341,0.6878,0,2.2637,0.3574,0.3347,0,1.4859,0.9526,0,0,0.7915,0,0,0.4445,0.9834,1.8433,8.4971,0,0,0.5001,0.9187,0,0.2942,0.3323,0,0,0,0.2899,0.2587,0.302,0.5291,0,1.6481,0,0.1857,0.4493,0,0.3237,0,0.2999,0.419,0.7457,0.7823,1.1015,0,0,0
"SNORA24",0.5438,0,0,0,0,1.658,0,1.2903,0,0,0,0,0,0,0,0,0,0.3926,0,0,0,0.7093,0,0,0,0,0,0,0,0,0,0,0.3157,0,0,0,0,0.5944,0,0,0.3585,0,0,0,0.8889,0,0,0,0,0.297,0,0.4593,0,0,0.9968,0,0,0,0,0,0,0.5291,0,0.3296,0,0,0.4493,0,0,1.0549,0,0,0,0.2608,0,0,0,0
"SNORA25",0.5438,0,0,0,0.4709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8889,0,0,0,0,0,0,0,0,0.2942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA27",0,0,0,0,0,0,0.3745,0,0,0,0,0,0,0,1.2492,0.3061,0,0.3926,0,0,0,0.7093,0,0,0,0,0,0,0,0,0,1.0316,0,0,0,0,0,1.1887,0,0,0.3585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419,0,0.2608,0,0,0,0
"SNORA28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA29",0.5438,0,0,0,0,0.829,0,0,0,0,0,0,0.3173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2985,0,0,0,0,0,0,0,0,0,0.2942,0,0,0,0,0,0,0,0,0,0.3296,0,0,0,0,0.3237,0,0,0,0,0,0,0,0,0
"SNORA2A",0,0,0,0,0.4709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3237,0,0,1.2569,0,0,0,0,0,0
"SNORA2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA31",0.5438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3061,0,0.3926,0,0,0,0,0,0,0.4057,0,0,0,0,0,1.1561,0,0,0.5659,0,0,0,1.1887,0,0,0,0,0,0.5971,0,0,0,0,0.5137,0,0,0,0,0.5884,0.3323,0,0,0,0,0,0,0,0,0.3296,0,0,0,0,0,0,0,0.419,0.7457,0,0,0,0,0.7236
"SNORA32",0,0.3998,0,0,0,0,0,0,0,0,0,0,0,0,0.3623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA34",0,0,0,0,0,0.4145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4187,0,0,0,0.4806,0,0,0,0.3187,1.7341,0.6878,0,0,0,0,0,0,0,0,0,0,0,0.2985,0,0.4917,0,0,0.5137,0,0,0,0.306,0,0,0,0,0.2709,0.2899,0,0.302,0.2646,0,0,0,0,0,0,0,0.5274,0,0,0,0,0,0,0,0
"SNORA35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA3",0.5438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2976,0,0,0.7093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2371,0,0,0,0,0
"SNORA36A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA36B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA36C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA37",0,0.5403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2999,0.419,0,0,0,0,0,0
"SNORA38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0698,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2371,0,0,0,0,0
"SNORA38B",0,0,0,0,0,0.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578,0,0,0,0,0,0,0.5944,0,0,0,0,0,0,0,0,0,0.5311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3296,0,0,0.4493,0,0,0,0,0,0,0,0,0,0,0
"SNORA39",15.0027,1.1455,5.2194,0.896,6.0789,5.086,5.0188,3.2172,9.8759,1.7154,13.0389,6.1577,1.3579,7.6511,6.2399,11.8304,10.7503,2.0534,2.7524,6.993,3.633,6.7352,2.8305,3.7014,9.0953,8.2086,7.5431,7.8684,21.039,3.1644,2.3121,4.1575,1.3005,0,0.3896,2.6109,4.2516,4.4012,1.0098,5.146,5.1228,8.6466,1.5285,3.857,0,1.0326,4.1152,0,7.7873,1.3454,4.2661,3.1006,6.8533,3.095,5.738,4.1987,5.2254,3.8976,10.308,6.561,1.4675,2.2144,0.4726,11.2369,5.7544,1.9384,5.8407,7.5204,5.0502,3.9715,2.8554,6.9048,2.431,4.9205,7.2367,10.3632,7.0576,3.2851
"SNORA40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7185,0.2291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1339,0,0,0,0,0.337,0,0,0.6538,0.3156,0.4474,0,0,0,0.2317,0,0,0.156,0.1206,0,0,0,0,0,0,0.1751,0,0,0.1978,0,0,0,0,0.1004,0,0,0.0628,0,0.0522,0,0,0,0.6512
"SNORA41",0,0.5403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3237,0,0,0,0,0,0,0,0,0
"SNORA42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA44",0.0218,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716000000000001,0,0
"SNORA45",0,0,0,0,0,0.4145,0,0,0.3446,0,0,0,0,0,0,0,0,0,0,0,0,0.3547,0,0.2849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4445,0,0,0,0,0,0.5001,0,0,0,0,0,0.2699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419,0,0,0,0,0,0
"SNORA4",0.1251,0.4593,0,0.0484,0,0,0,0,0,0,0,0.4391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237000000000001,0,0,0,0,0.4101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359,0,0,0,0.24,0,0.4847,0,0,0,0,0
"SNORA46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3439,0,0,0,0,0,0.8915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1857,0,0,0,0,0,0,0.7457,0,0,0,0,0
"SNORA47",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA48",0.5438,0.5403,0,0,0,0,0,0,0,0,0,0,0,0,1.2492,0,1.2419,0.7852,0,0.4114,0,0,0,0,0.8114,0,0,0,0,0,0,0.3439,0.947,0,0.3574,0,0,2.6746,0,0.3881,0,0.7915,0,0,0.4445,0,1.3825,0,1.541,0.297,0,0.4593,0.6119,0,0,0,0,0,0.2899,0.5174,0,0,0.4005,0,0,0.1857,0.4493,0,0,0,0,0,0,0.2608,0.5507,0,0,0
"SNORA49",0,0,0,0,0,0,0,0,0,0,0,0.3327,0,0,0.6246,0,2.8977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6878,0,0,0,0,0,0.2972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2608,0,0,1.4388,0
"SNORA50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA52",0,0.5403,0,0,0,0,0.3745,0,0,0,0,0,0,0,0.6246,0,0.8279,0,0,0,0,0.7093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2972,0.3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7457,0,0,0.5115,0,0.7236
"SNORA53",1.6313,5.4032,0.7209,0.4036,0.9417,0,1.8727,0.4301,0.6892,0.441,0,2.994,0,0.6006,4.3723,1.2244,9.1069,3.141,1.1902,0.4114,0.8247,0.3547,0.7681,1.4247,1.217,0,1.0152,0,0.2906,0.6373,9.2486,2.0633,0.6313,0,1.0722,1.3389,0,5.3492,0.6351,0,1.0755,0.3957,0.3821,0.8956,2.2223,1.4751,1.3825,0,2.5684,0.891,1.0003,1.378,0.6119,1.471,2.3258,0.6076,0.8097,0.5417,1.1595,1.2936,0,1.0583,0.801,1.6481,0.3958,0.7427,2.2464,0.6344,1.9424,0.5274,0.5999,1.6759,1.4914,2.6076,3.8552,2.5575,0,0.7236
"SNORA54",0,0,0,0,0,0,0,0,0,0,2.6502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5971,0,0,0,0,0.5137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2976,0,0,0,0,0,0,0,0,0,0.2906,0,0,0,0.3157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA56",0,0,0,0,0,0,0,0,0.3446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3172,0,0,0,0,0,0,0,0,0,0
"SNORA57",1.0875,0.5403,1.4418,0.8072,2.3543,0.829,0,1.2903,0.3446,1.3229,7.0671,0.3327,0.9518,0.6006,0,0.9183,1.6558,0,0,0.4114,0,5.3201,0,0.2849,3.2454,0,0.3384,0.331,0.8719,0,0,0.6878,0,0,0,0.3347,0,1.1887,0,0.3881,0,0,0,0,1.7778,0,1.8433,0,0.5137,0.594,0,0.9187,0,0.5884,0.3323,0,0.2699,0,0,0,0,0,0.4005,1.3185,0,0,0.4493,0,0,0,0,0,0,0.2608,1.6522,0,0,0
"SNORA58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA59B",0,0,0,0,0,0,0,0.8602,1.0338,0,0,0.6653,0.3173,0,0.6246,0,2.8977,0,0.2976,0,0,0.3547,0,0,0,0.4806,0.6768,0,0,0,0,0,0.3157,0,0.3574,0,0,0,0,0,0.3585,0,0,0,0,0,0,0,0,0,0,0.4593,0,0.2942,0,0,0,0,0,0.2587,0,0,0,0.3296,0,0,1.3479,0,0.6475,0,0,0,0,0.2608,0.5507,1.023,0,0
"SNORA5A",0,0,0,0,0,0.4145,0,0,0,0,0,0.3327,0,0,0,0.3061,0,0,0,0,0,0,0,0,0,0,0.3384,0.331,0,0,0,0,0,0,0,0,0,0.5944,0.3175,0,0,0.3957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2899,0,0,0,0,0.9889,0,0,0.4493,0,0,0,0.2999,0,0,0,0,0,0,0
"SNORA5B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2399,0,0,0,0
"SNORA5C",0.5438,0,0,0,0,0,0,0,0.6892,0,0,0,0,0.6006,0,0,0,0.3926,0,0,0,0,0,0,0,0,0,0,0.2906,0,0.578,0,0.3157,0,0,0.3347,0,0.2972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3323,0.6076,0,0,0,0,0,0,0,0,0,0,0.4493,0,0,0,0,0,0,0,0,0,0,0.7236
"SNORA61",0,0.9348,1.2183,0,0,1.4218,0.6704,0,0.1275,0,0,0,0,0.8168,0,0.0643,3.1253,0,0,0,0,0.1454,0,0.2109,1.1156,0,0.2064,0,0,0.4525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1422,0,0,1.7207,0,0.196,0,0,0.0031000000000001,0.1706,0,0,0,0.214,0,0.6882,0,0,0,0,0,0,0,0,0.4111,0,0.225,0.1927,0.2163,0,0,0.6701,0,0
"SNORA62",0,0,0,0,0,0.4145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3662,0.5944,0,0,0,0,0.3821,0,0,0,0.4608,0.5311,0,0,0,0.9187,0,0,0,0,0,0,0,0,0,0.5291,0,0,0,0.3713,0,0,0.3237,0,0,0,0,0,1.1015,0.5115,0,1.4472
"SNORA63",1.0875,0.5403,0.3605,0.4036,0.4709,0.829,0,0.8602,0,0,43.2862,0.998,0,0,4.3723,0.3061,3.7256,1.1779,1.1902,0.4114,0,1.7734,0,0,1.217,0,0.3384,0.662,0.5813,0.3187,8.6705,7.9092,0.3157,0,0.7148,1.3389,0.3662,6.2407,0,0.3881,1.4339,1.5829,0.3821,2.9853,1.3334,0,0,0,0,0,0,3.6748,1.2238,1.1768,0.3323,1.2153,0.2699,0.2709,0.8696,0.2587,0,0,0,0.6593,0.3958,0,0.4493,0.3172,1.6186,0.5274,0,0.838,4.4743,1.3038,0.5507,0,0,0.7236
"SNORA64",0,1.3724,0,0,0,0,0,0,0,0.6174,0,0.1264,0,0,0,0,0.2691,0,0,0,0,0,0,0,0,0,0.1624,0.2383,0,0,3.341,0,0.0284,0,0,0,0,2.0119,0,0,0,0.3008,0,0,0,0,0.1567,0,0,0,0.04,0.2894,0,0,0,0,0.1215,0,0,0,0,0,0,0,0.3127,0.1522,0,0.1998,0,0,0,0.0167999999999999,0,0,0,0.0665,0,0
"SNORA65",1.0875,0.5403,0.3605,0,0,0.4145,0,0,0,0,0,0,0.6345,0,0,0.3061,0,0,0,0,0,0.3547,0,0,0,0,0,0,0.2906,0,0.578,0,0,0,0.3574,0,0,0,0,0,0,0,0,0,0,0,0.9217,0,0,0,0,0.4593,0,0.5884,0.3323,0,0,0,0,0,0,0,0,0,0,0,0.4493,0,0.3237,0,0,0.838,0.7457,0,0,0,0,0
