"","gene","fc_PCR_vs_RD","pval","mean_PCR","mean_RD","mean_diff"
"8456","RBP1",-0.828266621422449,0.0252496229336818,0.0605055263157895,-0.0730507843137255,0.133556310629515
"8574","TCEAL4",1.61450369868815,0.0292595765630212,-0.272992631578947,-0.169087647058824,-0.103904984520124
"8585","C6orf203",2.35096376105422,0.014327264565451,0.178853947368421,0.076076862745098,0.102777084623323
"8611","PSAT1",-1.32616138194074,0.00861701995138125,0.102373157894737,-0.0771950980392157,0.179568255933953
"8672","GDPD3",-17.4692692953506,0.00110382153055789,-0.149454736842105,0.00855529411764706,-0.158010030959752
"8682","C16orf89",0.29202192490584,0.0256963020752504,-0.0541718421052632,-0.185506078431373,0.131334236326109
"8716","CCL13",-6.89804062379657,0.0421689071293739,0.120341052631579,-0.0174456862745098,0.137786738906089
"8820","SIX2",0.277583447684688,4.27582738629405e-05,-0.0563568421052632,-0.203026666666667,0.146669824561404
"8850","MGAT4A",-4.35174862669764,0.0376397538192646,0.103191052631579,-0.0237125490196078,0.126903601651187
"8900","CBR1",0.312738376869154,0.00954107779303429,-0.0533207894736842,-0.170496470588235,0.117175681114551
"8917","SERPINA3.1",1.37960004558773,0.0354573519613274,-0.531796052631579,-0.385471176470588,-0.146324876160991
"8985","C4orf19",-0.221112543504718,0.00545433127075834,-0.0370205263157895,0.167428431372549,-0.204448957688338
"9013","DDX60L",0.664135229001426,0.0118710080077575,0.219204473684211,0.33006,-0.110855526315789
"9037","FGFBP1",-0.395391381609449,0.0497245209790689,0.048326052631579,-0.122223333333333,0.170549385964912
"9083","SRD5A1",-1.40866479557017,0.0154109355842845,0.0774713157894737,-0.0549962745098039,0.132467590299278
"9123","PTCHD1",2.39971222805444,0.0140953250362525,0.450070263157895,0.187551764705882,0.262518498452012
"9350","HENMT1",2.59633036885162,0.00677787073530873,0.217925789473684,0.0839360784313725,0.133989711042312
"9362","ESR1",1.28178906615144,0.0275492262804695,-1.07522473684211,-0.838846862745098,-0.236377874097007
"9366","GJB7",-0.506430546823299,0.00135666591351763,0.0607152631578947,-0.11988862745098,0.180603890608875
"9511","UGCG.1",1.62304889713693,0.00181587743863765,-0.375752368421053,-0.231510196078431,-0.144242172342621
"9537","PON2",0.19900302614437,0.00252712483073674,0.0266865789473684,0.13410137254902,-0.107414793601651
"9569","CABYR",2.18177528339246,0.00597550011543136,-0.297668157894737,-0.136433921568627,-0.161234236326109
"9633","ACOX3",2.72998946616606,0.00174647844666465,-0.167132631578947,-0.0612209803921569,-0.10591165118679
"9782","CARD14.1",7.34799574590518,0.00845729288731365,-0.132834473684211,-0.0180776470588235,-0.114756826625387
"9829","DENND1B.1",3.041838713727,0.0365414929475247,-0.184792894736842,-0.0607503921568627,-0.124042502579979
"9866","CCL3L3",8.17873436431652,0.0152456872134625,0.122086052631579,0.0149272549019608,0.107158797729618
"9946","GPRC5B",0.311388041696296,0.0127257832369579,-0.0575678947368421,-0.184875098039216,0.127307203302374
"10008","DACH1",1.44751398817478,0.0032453777849623,-0.832255263157895,-0.574954901960784,-0.25730036119711
"10053","RNF213",0.316613302049839,0.00854261008669509,0.0467192105263158,0.147559215686275,-0.100840005159959
"10139","GREB1",3.16822064597551,0.0203341027645517,-0.307777105263158,-0.0971450980392157,-0.210632007223942
"10248","ZFC3H1.1",-0.0381491766939594,0.00325407838130389,-0.00446394736842105,0.117012941176471,-0.121476888544892
"10519","ZNF711.2",-5.05460171081835,0.0150423516160494,0.0897568421052632,-0.0177574509803922,0.107514293085655
"10666","STOX1",2.00373117922261,0.0454741786686739,-0.224333421052632,-0.111957843137255,-0.112375577915377
"10763","CACNA2D2",1.36987870344771,0.0374040703960069,-0.406774736842105,-0.296942156862745,-0.10983257997936
"10819","CACNA1H",-23.4629862700229,0.000135358509884095,-0.215859473684211,0.0092,-0.225059473684211
"10908","FCRLB",1.28725878976601,0.00897176831666401,-0.841314736842105,-0.653570784313726,-0.18774395252838
"11013","FSIP1",1.59209988226323,0.0333839548197318,-0.470232631578947,-0.295353725490196,-0.174878906088751
"11072","ST8SIA1",-1.1419678645388,0.0333764242900054,0.0643807894736842,-0.0563770588235294,0.120757848297214
"11080","CCDC78",3.04027697099583,0.00436572351845972,-0.277034210526316,-0.0911213725490196,-0.185912837977296
"11137","ARHGEF10.1",0.672653069667831,0.0114252893976917,0.212082105263158,0.315291960784314,-0.103209855521156
"11172","ANO3",-4.52933006578998,0.0166844497756106,-0.115317631578947,0.0254601960784314,-0.140777827657379
"11244","BOD1L",-2.08162084473309,0.0153319726898103,-0.0804734210526316,0.0386590196078431,-0.119132440660475
"11270","PLAC2",-4.60383973386506,0.00862437839904714,-0.0974307894736842,0.0211629411764706,-0.118593730650155
"11278","BEND3",5.45558259811378,0.00838852053223014,0.163594736842105,0.0299866666666667,0.133608070175439
"11381","SLC30A8",1.29048883320665,0.0346768517320134,-0.517551052631579,-0.401050392156863,-0.116500660474716
"11408","STARD10",2.03283396023219,0.00541975473104561,-0.233641578947368,-0.114933921568627,-0.118707657378741
"11412","KRT86",-0.214740904852642,0.0342658543408553,0.0411721052631579,-0.191729215686275,0.232901320949432
"11467","CCDC57.2",-0.17152823285903,0.00159482087264008,-0.0173823684210526,0.101338235294118,-0.11872060371517
"11542","ALDH2",-0.77464452919609,0.0362778494422309,0.0475276315789474,-0.0613541176470588,0.108881749226006
"11569","GPRC5A",10.0335514014912,0.00105290402499557,-0.230435263157895,-0.0229664705882353,-0.207468792569659
"11573","GPRC5A.1",-21.0645264665963,8.55950417557606e-05,-0.196040526315789,0.00930666666666667,-0.205347192982456
"11603","LRRC56",1.64948353112992,0.0209287187658989,-0.273725,-0.165945882352941,-0.107779117647059
"11605","PKI55",-2.88879327152322,0.0056999954181482,0.0816531578947368,-0.0282654901960784,0.109918648090815
"11727","CA12.2",2.11559023968777,0.00497253644600734,-0.374084473684211,-0.176822745098039,-0.197261728586171
"11775","AFF3",2.26431700215259,0.00166829280841783,-0.280908947368421,-0.124059019607843,-0.156849927760578
"11845","C15orf39",-1.07075165849717,0.000724161902881689,0.0548073684210526,-0.0511858823529412,0.105993250773994
"11976","PTP4A2.2",-2.81275670470383,0.00582940200168781,-0.075478947368421,0.0268345098039216,-0.102313457172343
"11986","SLC5A11",0.645945506186818,0.0129080809703333,-0.315379473684211,-0.488244705882353,0.172865232198142
"12011","ASRGL1.3",-1.09811256559845,0.00770665391743537,0.122206578947368,-0.111287843137255,0.233494422084623
"12058","WBSCR27",-67.7883603238866,0.016131553722499,-0.103676315789474,0.00152941176470588,-0.10520572755418
"12060","CCDC74B",1.27225143035336,0.0348072267883826,-0.662207368421053,-0.520500392156863,-0.14170697626419
"12114","CHGB",0.876017356095096,0.0253837741891219,-1.78295657894737,-2.03529823529412,0.252341656346749
"12253","KIF12",2.0959861431397,0.00156467668907381,-0.322731315789474,-0.153975882352941,-0.168755433436532
"12284","NHSL1",-1.37018576598652,0.0111012574846759,0.0601076315789474,-0.0438682352941176,0.103975866873065
"12366","VAV1",24.217734198678,0.0294169547916372,0.108633157894737,0.00448568627450981,0.104147471620227
"12481","AIF1L",-10.7464679397609,0.011125316649119,0.109291578947368,-0.01017,0.119461578947368
"12527","TFPI2",-0.424422154892444,0.000968152153787883,-0.0922205263157895,0.217284901960784,-0.309505428276574
"12569","KIAA1467",1.49825699271764,0.00479503254846246,-0.381156578947368,-0.2544,-0.126756578947368
"12663","CLCA2",2.60594350689434,0.0276107186901899,0.445643421052632,0.171010392156863,0.274633028895769
"12678","ABCC13.2",1.88834966502273,0.0314696649056505,-0.261556052631579,-0.138510392156863,-0.123045660474716
"12728","DOK7",-4.31715947887132,0.000478214336375043,-0.200470263157895,0.0464356862745098,-0.246905949432405
"12732","CXXC5",3.41562618159363,3.51631525426315e-05,-0.249561052631579,-0.0730645098039216,-0.176496542827657
"12745","RNF182",0.397769816622966,0.00606156356943642,-0.149779210526316,-0.376547450980392,0.226768240454076
"12810","SUSD3",1.51762997232843,0.0136888006878195,-0.657572105263158,-0.433288823529412,-0.224283281733746
"12833","CCDC74B.1",1.30154558385716,0.0196107240458013,-0.815431578947368,-0.626510196078431,-0.188921382868937
"12870","NKX6.3",5.90365757242934,0.00752245033669715,0.162753421052632,0.0275682352941176,0.135185185758514
"12913","VEZF1.1",2.85834157822343,0.0150224064843316,-0.172356315789474,-0.0602994117647059,-0.112056904024768
"12928","CBR3",-0.42019609260398,0.0056168756683527,0.0372563157894737,-0.0886641176470588,0.125920433436533
"12946","SHROOM1.1",1.68799955654578,0.0448522994139787,-0.331230526315789,-0.196226666666667,-0.135003859649123
"13024","SPATA18",1.48781542299078,0.0271262168697586,-0.319393421052632,-0.214672745098039,-0.104720675954592
"13095","MBOAT1",1.91858932674383,0.0249728288748344,-0.26033,-0.135688235294118,-0.124641764705882
"13271","PREX1",1.42354414386493,0.0328225397394974,-0.396076315789474,-0.278232549019608,-0.117843766769866
"13347","SGK494",0.617179062914134,0.013267445307811,0.213657105263158,0.346183333333333,-0.132526228070175
"13360","PCDHB8",0.446731656215018,0.0397744186629588,-0.0924342105263158,-0.206912156862745,0.114477946336429
"13420","IGF1R.2",1.94452177239632,0.00309689442529238,-0.404747631578947,-0.208147647058824,-0.196599984520124
